Date,Balance,Deposit Load,Drawdown,Profit,Loss,Total,Sharp Ratio,ProfitFactor,Recovery Factor,,Profit,Empty
2024.02.20 17:30:38, 7.90,500,0,0,118.27,13.3,104.97,118.27,13.3,104.97,- 6.18,0
2024.02.20 18:06:48, 10.44,604.97,1.4,10.24,0,0,0,0,0,0, 2.54,0
2024.02.20 18:07:21, 10.44,604.97,1.4,0.618,0,0,0,0,0,0,0.00,0
2024.02.20 18:09:03, 10.59,604.97,1.4,0.618,234.07,25.76,208.31,234.07,25.76,208.31, 0.15,0
2024.02.20 18:10:20, 10.03,813.28,7.82,15.72,758.19,208.8,549.39,758.19,208.8,549.39,- 0.56,0
2024.02.20 18:44:43, 11.49,1362.67,7.69,42.13,1571,428.13,1143.86,1571,428.13,1143.86, 1.46,0
2024.02.20 18:58:10, 14.65,2506.53,0,84.74,222.61,2633,2410,222.61,2633,2410, 3.16,0
2024.02.20 19:01:41, 14.81,96.14,18.26,93.2,5.88,99.56,93.68,5.88,99.56,93.68, 0.16,0
2024.02.20 19:08:01, 15.83,2.46,0,93.19,0,0,0,0,0,0, 1.02,0
2024.02.20 19:09:39, 15.91,0,0,2.46,0,0,0,0,0,0, 0.08,0
2024.02.20 19:10:43, 16.86,0,0,2.46,0,0,0,0,0,0, 0.95,0
2024.02.20 19:11:30, 17.29,0,0,2.46,0,0,0,0,0,0, 0.43,0
2024.02.20 19:17:30, 17.73,0,0,2.46,0,0,0,0,0,0, 0.44,0
2024.02.20 19:21:17, 18.52,0,0,2.46,0,0,0,0,0,0, 0.79,0
2024.02.20 19:27:47, 19.05,0,0,2.46,0,0,0,0,0,0, 0.53,0
2024.02.20 19:29:38, 19.27,0,0,2.46,0,0,0,0,0,0, 0.22,0
2024.02.20 19:30:57, 20.20,0,0,2.46,0,0,0,0,0,0, 0.93,0
2024.02.20 19:34:15, 19.46,0,0,2.46,0,29.16,29.16,0,29.16,29.16,- 0.74,0
2024.02.20 19:34:16, 17.99,473.3,15.08,3.33,110.5,65.64,44.86,110.5,65.64,44.86,- 1.47,0
2024.02.20 19:35:27, 17.73,518.16,0,8.43,176.05,75.31,100.74,176.05,75.31,100.74,- 0.26,0
2024.02.20 19:36:52, 17.95,618.9,0,16.99,36.91,7.21,29.7,36.91,7.21,29.7, 0.22,0
2024.02.20 19:37:06, 18.15,648.6,5.65,1.98,32.31,-5.01,27.3,32.31,-5.01,27.3, 0.20,0
2024.02.20 19:37:28, 18.16,675.9,17.7,7.26,0,0,0,0,0,0, 0.01,0
2024.02.20 19:38:41, 18.44,675.9,17.7,3.45,0,0,0,0,0,0, 0.28,0
2024.02.20 19:41:23, 19.66,675.9,17.7,3.45,45.43,16.94,28.49,45.43,16.94,28.49, 1.22,0
2024.02.20 19:41:38, 20.29,704.31,27.88,11.28,92.54,20.48,72.06,92.54,20.48,72.06, 0.63,0
2024.02.20 19:42:15, 20.39,775.95,13.28,12.94,138.96,126.55,12.41,138.96,126.55,12.41, 0.10,0
2024.02.20 19:43:23, 20.51,798.93,8,6.93,159.55,25.88,133.67,159.55,25.88,133.67, 0.12,0
2024.02.20 19:48:03, 19.85,869.46,27.31,0,269.25,95.97,173.28,269.25,95.97,173.28,- 0.66,0
2024.02.20 19:53:02, 21.54,1036,32.44,0,,,,118.27,13.3,104.97, 1.69,0
2024.02.20 19:53:05, 22.36,500,0,0,118.27,13.3,104.97,0,0,0, 0.82,0
2024.02.20 19:59:12, 22.42,604.97,1.4,10.24,0,0,0,0,0,0, 0.06,0
2024.02.20 20:01:12, 22.54,604.97,1.4,0.618,0,0,0,234.07,25.76,208.31, 0.12,0
2024.02.20 20:06:30, 23.59,604.97,1.4,0.618,234.07,25.76,208.31,758.19,208.8,549.39, 1.05,0
2024.02.20 20:06:42, 23.72,813.28,7.82,15.72,758.19,208.8,549.39,1571,428.13,1143.86, 0.13,0
2024.02.20 20:11:06, 23.97,1362.67,7.69,42.13,1571,428.13,1143.86,222.61,2633,2410, 0.25,0
2024.02.20 20:12:22, 24.03,2506.53,0,84.74,222.61,2633,2410,5.88,99.56,93.68, 0.06,0
2024.02.20 20:15:15, 24.68,96.14,18.26,93.2,5.88,99.56,93.68,0,0,0, 0.65,0
2024.02.20 20:19:07, 24.94,2.46,0,93.19,0,0,0,0,0,0, 0.26,0
2024.02.20 20:24:17, 23.00,0,0,2.46,0,0,0,0,0,0,- 1.94,0
2024.02.20 20:24:19, 20.31,0,0,2.46,0,0,0,0,0,0,- 2.69,0
2024.02.20 20:24:20, 15.47,0,0,2.46,0,0,0,0,0,0,- 4.84,0
2024.02.20 20:25:03, 15.87,0,0,2.46,0,0,0,0,0,0, 0.40,0
2024.02.20 20:25:03, 16.13,0,0,2.46,0,0,0,0,0,0, 0.26,0
2024.02.20 20:25:03, 16.24,0,0,2.46,0,0,0,0,0,0, 0.11,0
2024.02.20 20:27:38, 18.81,0,0,2.46,0,0,0,0,0,0, 2.57,0
2024.02.20 20:31:10, 19.20,0,0,2.46,0,0,0,0,29.16,29.16, 0.39,0
2024.02.20 20:35:45, 19.73,0,0,2.46,0,29.16,29.16,110.5,65.64,44.86, 0.53,0
2024.02.20 20:35:45, 20.00,473.3,15.08,3.33,110.5,65.64,44.86,176.05,75.31,100.74, 0.27,0
2024.02.20 20:43:58, 21.52,518.16,0,8.43,176.05,75.31,100.74,36.91,7.21,29.7, 1.52,0
2024.02.20 20:43:59, 23.18,618.9,0,16.99,36.91,7.21,29.7,32.31,-5.01,27.3, 1.66,0
2024.02.20 20:47:07, 23.29,648.6,5.65,1.98,32.31,-5.01,27.3,0,0,0, 0.11,0
2024.02.20 20:49:26, 23.41,675.9,17.7,7.26,0,0,0,0,0,0, 0.12,0
2024.02.20 20:49:36, 23.41,675.9,17.7,3.45,0,0,0,45.43,16.94,28.49,0.00,0
2024.02.20 20:50:01, 23.81,675.9,17.7,3.45,45.43,16.94,28.49,92.54,20.48,72.06, 0.40,0
2024.02.20 20:50:38, 23.81,704.31,27.88,11.28,92.54,20.48,72.06,138.96,126.55,12.41,0.00,0
2024.02.20 21:04:36, 23.81,775.95,13.28,12.94,138.96,126.55,12.41,159.55,25.88,133.67,0.00,0
2024.02.20 21:07:32, 25.66,798.93,8,6.93,159.55,25.88,133.67,269.25,95.97,173.28, 1.85,0
2024.02.20 21:07:32, 26.82,869.46,27.31,0,269.25,95.97,173.28,118.27,13.3,104.97, 1.16,0
2024.02.20 21:08:54, 26.97,1036,32.44,0,,,,0,0,0, 0.15,0
2024.02.20 21:08:57, 26.97,500,0,0,118.27,13.3,104.97,0,0,0,0.00,0
2024.02.20 21:12:41, 27.64,604.97,1.4,10.24,0,0,0,234.07,25.76,208.31, 0.67,0
2024.02.20 21:12:49, 27.76,604.97,1.4,0.618,0,0,0,758.19,208.8,549.39, 0.12,0
2024.02.20 21:13:43, 28.29,604.97,1.4,0.618,234.07,25.76,208.31,1571,428.13,1143.86, 0.53,0
2024.02.20 21:19:53, 30.89,813.28,7.82,15.72,758.19,208.8,549.39,222.61,2633,2410, 2.60,0
2024.02.20 21:19:53, 32.56,1362.67,7.69,42.13,1571,428.13,1143.86,5.88,99.56,93.68, 1.67,0
2024.02.20 21:19:53, 35.82,2506.53,0,84.74,222.61,2633,2410,0,0,0, 3.26,0
2024.02.20 21:33:29, 37.87,96.14,18.26,93.2,5.88,99.56,93.68,0,0,0, 2.05,0
2024.02.20 21:33:53, 37.77,2.46,0,93.19,0,0,0,0,0,0,- 0.10,0
2024.02.20 21:37:50, 38.21,0,0,2.46,0,0,0,0,0,0, 0.44,0
2024.02.20 21:41:12, 38.64,0,0,2.46,0,0,0,0,0,0, 0.43,0
2024.02.20 21:41:40, 39.07,0,0,2.46,0,0,0,0,0,0, 0.43,0
2024.02.20 21:43:03, 39.22,0,0,2.46,0,0,0,0,0,0, 0.15,0
2024.02.20 21:43:04, 39.38,0,0,2.46,0,0,0,0,0,0, 0.16,0
2024.02.20 22:10:23, 40.93,0,0,2.46,0,0,0,0,0,0, 1.55,0
2024.02.20 22:10:48, 42.68,0,0,2.46,0,0,0,0,29.16,29.16, 1.75,0
2024.02.20 22:11:01, 44.76,0,0,2.46,0,0,0,110.5,65.64,44.86, 2.08,0
2024.02.20 22:29:08, 45.01,0,0,2.46,0,29.16,29.16,176.05,75.31,100.74, 0.25,0
2024.02.20 22:29:08, 45.19,473.3,15.08,3.33,110.5,65.64,44.86,36.91,7.21,29.7, 0.18,0
2024.02.20 22:29:08, 45.37,518.16,0,8.43,176.05,75.31,100.74,32.31,-5.01,27.3, 0.18,0
2024.02.20 22:33:16, 45.57,618.9,0,16.99,36.91,7.21,29.7,0,0,0, 0.20,0
2024.02.20 22:33:48, 45.42,648.6,5.65,1.98,32.31,-5.01,27.3,0,0,0,- 0.15,0
2024.02.20 22:33:57, 45.03,675.9,17.7,7.26,0,0,0,45.43,16.94,28.49,- 0.39,0
2024.02.20 22:34:00, 44.64,675.9,17.7,3.45,0,0,0,92.54,20.48,72.06,- 0.39,0
2024.02.20 22:46:13, 49.04,675.9,17.7,3.45,45.43,16.94,28.49,138.96,126.55,12.41, 4.40,0
2024.02.20 22:46:25, 53.41,704.31,27.88,11.28,92.54,20.48,72.06,159.55,25.88,133.67, 4.37,0
2024.02.20 22:46:26, 56.19,775.95,13.28,12.94,138.96,126.55,12.41,269.25,95.97,173.28, 2.78,0
2024.02.20 22:49:40, 57.01,798.93,8,6.93,159.55,25.88,133.67,118.27,13.3,104.97, 0.82,0
2024.02.20 22:50:17, 56.28,869.46,27.31,0,269.25,95.97,173.28,0,0,0,- 0.73,0
2024.02.20 23:24:50, 55.89,1036,32.44,0,,,,0,0,0,- 0.39,0
2024.02.20 23:24:50, 55.15,500,0,0,118.27,13.3,104.97,234.07,25.76,208.31,- 0.74,0
2024.02.20 23:24:50, 57.34,604.97,1.4,10.24,0,0,0,758.19,208.8,549.39, 2.19,0
2024.02.20 23:24:50, 57.08,604.97,1.4,0.618,0,0,0,1571,428.13,1143.86,- 0.26,0
